green_channel,red_channel,ir_channel,Anomaly_ch2,Anomaly_ch2,Anomaly_ch2
23002,30537,61251,0,0,0
22915,30476,61140,0,0,0
22845,30427,61037,0,0,0
22794,30393,60946,0,0,0
22752,30364,60865,0,0,0
22716,30338,60794,0,0,0
22691,30323,60737,0,0,0
22673,30313,60685,0,0,0
22656,30302,60629,0,0,0
22643,30290,60576,0,0,0
22636,30280,60537,0,0,0
22627,30269,60508,0,0,0
22609,30252,60476,0,0,0
22579,30225,60432,0,0,0
22535,30186,60378,0,0,0
22467,30126,60311,0,0,0
22373,30043,60228,0,0,0
22260,29948,60130,0,0,0
22130,29847,60023,0,0,0
21984,29738,59910,0,0,0
21834,29630,59793,0,0,0
21702,29537,59683,0,0,0
21599,29469,59593,0,0,0
21517,29423,59519,0,0,0
21449,29389,59454,0,0,0
21394,29366,59396,0,0,0
21349,29347,59341,0,0,0
21309,29325,59282,0,0,0
21275,29300,59217,0,0,0
21251,29280,59155,0,0,0
21234,29264,59100,0,0,0
21218,29250,59046,0,0,0
21204,29234,58991,0,0,0
21198,29221,58940,0,0,0
21200,29213,58894,0,0,0
21202,29204,58843,0,0,0
21205,29198,58788,0,0,0
21211,29198,58743,0,0,0
21218,29203,58705,0,0,0
21218,29207,58668,0,0,0
21213,29210,58629,0,0,0
21209,29214,58593,0,0,0
21202,29217,58560,0,0,0
21187,29211,58515,0,0,0
21169,29196,58459,0,0,0
21150,29179,58399,0,0,0
21119,29157,58336,0,0,0
21067,29125,58263,0,0,0
21000,29081,58180,0,0,0
20928,29035,58094,0,0,0
20853,28985,58004,0,0,0
20774,28931,57910,0,0,0
20703,28882,57822,0,0,0
20649,28846,57749,0,0,0
20607,28820,57685,0,0,0
20569,28797,57622,0,0,0
20540,28780,57563,0,0,0
20525,28775,57516,0,0,0
20525,28782,57482,0,0,0
20540,28797,57460,0,0,0
20579,28828,57456,0,0,0
20639,28873,57469,0,0,0
20710,28923,57489,0,0,0
20782,28972,57506,0,0,0
20859,29022,57522,0,0,0
20937,29072,57541,0,0,0
21000,29112,57557,0,0,0
21035,29135,57557,0,0,0
21044,29137,57538,0,0,0
21026,29121,57503,0,0,0
20981,29083,57448,0,0,0
20921,29035,57378,0,0,0
20861,28987,57304,0,0,0
20804,28942,57233,0,0,0
20743,28895,57158,0,0,0
20683,28849,57082,0,0,0
20634,28809,57011,0,0,0
20596,28775,56948,0,0,0
20556,28740,56883,0,0,0
20512,28701,56812,0,0,0
20461,28660,56736,0,0,0
20390,28608,56651,0,0,0
20291,28538,56547,0,0,0
20168,28452,56425,0,0,0
20032,28359,56294,0,0,0
19891,28267,56162,0,0,0
19744,28172,56025,0,0,0
19598,28075,55888,0,0,0
19455,27982,55757,0,0,0
19314,27895,55629,0,0,0
19176,27816,55506,0,0,0
19051,27748,55390,0,0,0
18950,27693,55286,0,0,0
18873,27647,55197,0,0,0
18816,27607,55118,0,0,0
18778,27577,55047,0,0,0
18758,27553,54986,0,0,0
18742,27532,54933,0,0,0
18721,27510,54877,0,0,0
18699,27488,54822,0,0,0
18681,27469,54778,0,0,0
18659,27452,54737,0,0,0
18633,27432,54685,0,0,0
18608,27411,54625,0,0,0
18586,27389,54564,0,0,0
18554,27361,54496,0,0,0
18505,27318,54417,0,0,0
18444,27266,54333,0,0,0
18376,27213,54251,0,0,0
18299,27155,54167,0,0,0
18213,27092,54075,0,0,0
18126,27031,53982,0,0,0
18042,26978,53893,0,0,0
17963,26929,53810,0,0,0
17898,26888,53734,0,0,0
17855,26860,53669,0,0,0
17832,26847,53615,0,0,0
17821,26841,53566,0,0,0
17818,26836,53522,0,0,0
17827,26838,53486,0,0,0
17851,26852,53464,0,0,0
17882,26872,53448,0,0,0
17914,26893,53438,0,0,0
17949,26916,53436,0,0,0
17982,26940,53438,0,0,0
18007,26959,53435,0,0,0
18027,26973,53429,0,0,0
18055,26992,53430,0,0,0
18094,27020,53444,0,0,0
18141,27051,53477,0,0,0
18206,27088,53541,0,0,0
18298,27145,53652,0,0,0
18415,27222,53810,0,0,0
18555,27314,54013,0,0,0
18725,27427,54262,0,0,0
18929,27563,54558,0,0,0
19157,27720,54895,0,0,0
19404,27892,55267,0,0,0
19670,28083,55676,0,0,0
19956,28293,56116,0,0,0
20248,28512,56575,0,0,0
20538,28726,57036,0,0,0
20832,28936,57495,0,0,0
21131,29145,57949,0,0,0
21422,29348,58387,0,0,0
21694,29536,58796,0,0,0
21950,29713,59175,0,0,0
22190,29881,59523,0,0,0
22408,30033,59833,0,0,0
22603,30167,60103,0,0,0
22783,30290,60340,0,0,0
22954,30408,60554,0,0,0
23108,30515,60739,0,0,0
23236,30604,60891,0,0,0
23341,30680,61017,0,0,0
23426,30740,61117,0,0,0
23489,30780,61190,0,0,0
23534,30808,61245,0,0,0
23571,30836,61294,0,0,0
23609,30864,61345,0,0,0
23648,30892,61396,0,0,0
23694,30921,61448,0,0,0
23757,30960,61514,0,0,0
23836,31011,61599,0,0,0
23920,31066,61697,0,0,0
24008,31127,61801,0,0,0
24102,31196,61914,0,0,0
24198,31267,62034,0,0,0
24287,31333,62154,0,0,0
24373,31393,62271,0,0,0
24454,31447,62380,0,0,0
24520,31492,62476,0,0,0
24568,31523,62555,0,0,0
24601,31544,62619,0,0,0
24624,31559,62671,0,0,0
24639,31564,62710,0,0,0
24639,31555,62729,0,0,0
24632,31540,62733,0,0,0
24627,31525,62731,0,0,0
24620,31514,62723,0,0,0
24614,31503,62708,0,0,0
24616,31497,62690,0,0,0
24629,31501,62676,0,0,0
24644,31508,62657,0,0,0
24655,31513,62627,0,0,0
24669,31520,62590,0,0,0
24684,31530,62547,0,0,0
24687,31532,62493,0,0,0
24667,31520,62426,0,0,0
24628,31498,62346,0,0,0
24574,31468,62258,0,0,0
24506,31423,62160,0,0,0
24430,31369,62055,0,0,0
24359,31316,61951,0,0,0
24289,31264,61851,0,0,0
24218,31210,61754,0,0,0
24149,31158,61661,0,0,0
24089,31112,61579,0,0,0
24037,31073,61512,0,0,0
23985,31035,61455,0,0,0
23931,30998,61404,0,0,0
23884,30967,61361,0,0,0
23842,30942,61326,0,0,0
23802,30919,61293,0,0,0
23772,30901,61263,0,0,0
23760,30894,61243,0,0,0
23760,30898,61232,0,0,0
23761,30903,61219,0,0,0
23760,30903,61204,0,0,0
23759,30899,61188,0,0,0
23755,30889,61164,0,0,0
23740,30871,61127,0,0,0
23716,30852,61080,0,0,0
23695,30837,61032,0,0,0
23678,30825,60986,0,0,0
23663,30814,60939,0,0,0
23654,30802,60894,0,0,0
23652,30793,60854,0,0,0
23645,30781,60812,0,0,0
23623,30762,60759,0,0,0
23592,30740,60701,0,0,0
23558,30721,60639,0,0,0
23517,30698,60568,0,0,0
23466,30666,60484,0,0,0
23412,30632,60391,0,0,0
23357,30599,60298,0,0,0
23291,30559,60201,0,0,0
23211,30510,60097,0,0,0
23131,30456,59990,0,0,0
23049,30400,59880,0,0,0
22960,30339,59764,0,0,0
22864,30273,59642,0,0,0
22766,30206,59522,0,0,0
22670,30137,59403,0,0,0
22569,30057,59277,0,0,0
22465,29971,59149,0,0,0
22364,29889,59028,0,0,0
22267,29814,58919,0,0,0
22170,29744,58816,0,0,0
22079,29678,58718,0,0,0
22001,29620,58623,0,0,0
21940,29570,58536,0,0,0
21891,29528,58454,0,0,0
21846,29490,58376,0,0,0
21804,29456,58302,0,0,0
21759,29423,58231,0,0,0
21710,29388,58158,0,0,0
21659,29351,58080,0,0,0
21612,29316,58000,0,0,0
21567,29277,57919,0,0,0
21513,29231,57834,0,0,0
21451,29183,57745,0,0,0
21385,29134,57659,0,0,0
21320,29080,57576,0,0,0
21258,29024,57491,0,0,0
21204,28972,57405,0,0,0
21156,28927,57325,0,0,0
21106,28879,57245,0,0,0
21049,28826,57159,0,0,0
20980,28773,57065,0,0,0
20899,28720,56964,0,0,0
20806,28662,56856,0,0,0
20711,28601,56747,0,0,0
20638,28553,56652,0,0,0
20597,28527,56582,0,0,0
20572,28515,56527,0,0,0
20551,28505,56474,0,0,0
20534,28497,56422,0,0,0
20516,28490,56370,0,0,0
20486,28476,56310,0,0,0
20437,28446,56234,0,0,0
20372,28400,56142,0,0,0
20292,28341,56038,0,0,0
20193,28267,55919,0,0,0
20084,28189,55792,0,0,0
19986,28126,55674,0,0,0
19914,28079,55576,0,0,0
19863,28044,55493,0,0,0
19829,28017,55422,0,0,0
19815,28004,55369,0,0,0
19824,28006,55339,0,0,0
19850,28020,55324,0,0,0
19890,28047,55318,0,0,0
19947,28092,55327,0,0,0
20018,28148,55351,0,0,0
20090,28205,55380,0,0,0
20157,28252,55406,0,0,0
20214,28290,55421,0,0,0
20260,28324,55423,0,0,0
20291,28349,55411,0,0,0
20310,28363,55388,0,0,0
20322,28365,55360,0,0,0
20324,28357,55323,0,0,0
20311,28338,55271,0,0,0
20289,28312,55209,0,0,0
20261,28282,55143,0,0,0
20220,28247,55072,0,0,0
20160,28201,54989,0,0,0
20087,28149,54897,0,0,0
20009,28095,54801,0,0,0
19927,28035,54700,0,0,0
19845,27972,54597,0,0,0
19776,27920,54504,0,0,0
19729,27887,54431,0,0,0
19694,27867,54375,0,0,0
19667,27850,54326,0,0,0
19652,27840,54284,0,0,0
19648,27837,54251,0,0,0
19647,27834,54223,0,0,0
19639,27826,54190,0,0,0
19624,27815,54152,0,0,0
19604,27801,54109,0,0,0
19574,27783,54057,0,0,0
19535,27760,53999,0,0,0
19504,27743,53949,0,0,0
19490,27739,53918,0,0,0
19491,27744,53904,0,0,0
19518,27763,53913,0,0,0
19583,27806,53960,0,0,0
19682,27875,54057,0,0,0
19810,27966,54205,0,0,0
19963,28075,54401,0,0,0
