green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2,Anomaly_ch2
10673,39692,59575,0,0,1,0
10607,39642,59475,0,0,1,0
10556,39604,59397,0,0,1,0
10527,39588,59352,0,0,1,0
10534,39606,59357,0,0,1,0
10588,39665,59427,0,0,1,0
10697,39766,59578,0,0,1,0
10869,39920,59823,0,0,1,0
11114,40134,60175,0,0,1,0
11433,40411,60641,0,0,1,0
11827,40751,61221,0,0,1,0
12290,41152,60592,0,0,1,0
12816,41605,56684,0,0,1,0
13387,42096,49746,0,0,1,0
13984,42609,41491,0,0,1,0
14595,43135,33115,0,0,1,0
15205,43659,25388,0,0,1,0
15792,44166,18741,0,0,1,0
16334,44639,13357,0,0,1,0
16818,45065,9238,0,0,1,0
17238,45433,6278,0,0,1,0
17597,45741,4312,0,0,1,0
17892,45994,3152,0,0,1,0
18127,46196,2606,0,0,1,0
18304,46350,2501,0,0,1,0
18427,46457,2691,0,0,1,0
18505,46524,3054,0,0,1,0
18545,46561,3494,0,0,1,0
18557,46578,3949,0,0,1,0
18551,46580,4375,0,0,1,0
18534,46571,4745,0,0,1,0
18507,46550,5051,0,0,1,0
18471,46520,5289,0,0,1,0
18432,46487,5463,0,0,1,0
18393,46456,5580,0,0,1,0
18357,46429,5648,0,0,1,0
18327,46404,5677,0,0,1,0
18302,46382,5678,0,0,1,0
18283,46363,5660,0,0,1,0
18268,46350,5633,0,0,1,0
18255,46341,5605,0,0,1,0
18243,46332,5579,0,0,1,0
18233,46322,5554,0,0,1,0
18220,46306,5524,0,0,1,0
18200,46283,5483,0,0,1,0
18172,46251,5430,0,0,1,0
18130,46209,5361,0,0,1,0
18070,46155,5273,0,0,1,0
17995,46087,5165,0,0,1,0
17902,46003,5035,0,0,1,0
17788,45901,4879,0,0,1,0
17658,45786,4698,0,0,1,0
17517,45666,4504,0,0,1,0
17374,45541,4306,0,0,1,0
17238,45418,4109,0,0,1,0
17116,45308,3924,0,0,1,0
17011,45214,3760,0,0,1,0
16922,45138,3620,0,0,1,0
16852,45081,3507,0,0,1,0
16801,45042,3423,0,0,1,0
16768,45016,3365,0,0,1,0
16746,44999,3329,0,0,1,0
16735,44988,3310,0,0,1,0
16733,44985,3307,0,0,1,0
16737,44990,3316,0,0,1,0
16742,44998,3332,0,0,1,0
16745,45004,3345,0,0,1,0
16746,45007,3348,0,0,1,0
16741,45001,3339,0,0,1,0
16723,44986,3315,0,0,1,0
16694,44963,3278,0,0,1,0
16657,44934,3230,0,0,1,0
16615,44895,3174,0,0,1,0
16567,44850,3108,0,0,1,0
16510,44803,3031,0,0,1,0
16443,44753,2943,0,0,1,0
16367,44694,2845,0,0,1,0
16285,44625,2736,0,0,1,0
16199,44547,2617,0,0,1,0
16113,44468,2488,0,0,1,0
16028,44389,2352,0,0,1,0
15945,44311,2211,0,0,1,0
15861,44236,2069,0,0,1,0
15772,44159,1926,0,0,1,0
15680,44078,1783,0,0,1,0
15588,43994,1637,0,0,1,0
15494,43909,1487,0,0,1,0
