green_channel,red_channel,ir_channel,Anomaly_ch0,Anomaly_ch1,Anomaly_ch2
22491,17694,28559,0,0,0
22477,17683,28537,0,0,0
22462,17677,28522,0,0,0
22443,17666,28497,0,0,0
22434,17656,28474,0,0,0
22435,17659,28466,0,0,0
22423,17661,28456,0,0,0
22402,17649,28430,0,0,0
22391,17635,28399,0,0,0
22386,17630,28380,0,0,0
22370,17624,28361,0,0,0
22346,17610,28330,0,0,0
22324,17600,28303,0,0,0
22301,17600,28289,0,0,0
22269,17595,28269,0,0,0
22241,17578,28236,0,0,0
22233,17569,28214,0,0,0
22239,17575,28217,0,0,0
22247,17583,28231,0,0,0
22272,17596,28256,0,0,0
22326,17631,28311,0,0,0
22397,17688,28400,0,0,0
22476,17747,28504,0,0,0
22579,17811,28620,0,0,0
22712,17894,28771,0,0,0
22857,17995,28954,0,0,0
23002,18097,29147,0,0,0
23157,18196,29341,0,0,0
23326,18303,29550,0,0,0
23493,18419,29771,0,0,0
23652,18526,29986,0,0,0
23815,18630,30194,0,0,0
23980,18743,30415,0,0,0
24135,18859,30643,0,0,0
24274,18962,30856,0,0,0
24412,19054,31054,0,0,0
24550,19148,31254,0,0,0
24672,19236,31445,0,0,0
24776,19309,31611,0,0,0
24880,19377,31761,0,0,0
24983,19453,31913,0,0,0
25067,19520,32052,0,0,0
25130,19565,32156,0,0,0
25189,19598,32236,0,0,0
25248,19634,32312,0,0,0
25292,19664,32376,0,0,0
25323,19682,32417,0,0,0
25351,19698,32448,0,0,0
25377,19722,32484,0,0,0
25385,19738,32510,0,0,0
25382,19734,32511,0,0,0
25382,19726,32502,0,0,0
25383,19727,32499,0,0,0
25373,19722,32490,0,0,0
25358,19705,32468,0,0,0
25348,19690,32448,0,0,0
25335,19682,32441,0,0,0
25311,19669,32426,0,0,0
25289,19644,32396,0,0,0
25280,19628,32373,0,0,0
25274,19626,32363,0,0,0
25254,19620,32347,0,0,0
25233,19607,32320,0,0,0
25228,19602,32302,0,0,0
25224,19608,32294,0,0,0
25208,19608,32275,0,0,0
25196,19602,32248,0,0,0
25198,19603,32235,0,0,0
25199,19608,32234,0,0,0
25189,19604,32224,0,0,0
25180,19591,32204,0,0,0
25179,19583,32191,0,0,0
25173,19579,32182,0,0,0
25158,19567,32161,0,0,0
25151,19553,32138,0,0,0
25153,19551,32132,0,0,0
25147,19551,32133,0,0,0
25129,19538,32119,0,0,0
25114,19519,32095,0,0,0
25107,19512,32081,0,0,0
25095,19511,32074,0,0,0
25076,19501,32059,0,0,0
25067,19493,32045,0,0,0
25070,19500,32048,0,0,0
25067,19511,32055,0,0,0
25058,19512,32051,0,0,0
25059,19510,32049,0,0,0
25071,19517,32065,0,0,0
25078,19525,32085,0,0,0
25079,19526,32092,0,0,0
25086,19528,32099,0,0,0
25096,19539,32116,0,0,0
25095,19547,32130,0,0,0
25089,19544,32131,0,0,0
25096,19544,32138,0,0,0
25113,19557,32164,0,0,0
25122,19564,32183,0,0,0
25125,19558,32188,0,0,0
25135,19553,32195,0,0,0
25142,19555,32207,0,0,0
25134,19551,32208,0,0,0
25128,19542,32197,0,0,0
25133,19545,32198,0,0,0
25135,19558,32212,0,0,0
25121,19559,32218,0,0,0
25102,19544,32208,0,0,0
25092,19533,32204,0,0,0
25080,19527,32207,0,0,0
25057,19511,32200,0,0,0
25034,19486,32179,0,0,0
25020,19469,32164,0,0,0
25005,19459,32156,0,0,0
24982,19441,32133,0,0,0
24963,19420,32095,0,0,0
24950,19409,32065,0,0,0
24927,19400,32039,0,0,0
24888,19378,31998,0,0,0
24850,19347,31948,0,0,0
24822,19324,31909,0,0,0
24792,19308,31874,0,0,0
24754,19284,31827,0,0,0
24720,19259,31775,0,0,0
24693,19242,31734,0,0,0
24654,19225,31694,0,0,0
24604,19194,31640,0,0,0
24561,19160,31582,0,0,0
24529,19139,31540,0,0,0
24495,19121,31503,0,0,0
24457,19094,31452,0,0,0
24428,19066,31400,0,0,0
24404,19047,31362,0,0,0
24369,19026,31322,0,0,0
